"candidat";"vote";"DimACP1_1";"DimACP1_2";"DimACP2_1";"DimACP2_2";"Médiane";"Écart inter-quartile";"Rapport interdécile";"Écart-type";"Gini";"Rapport interdécile (log)";"inegalitesH"
"Abstentions";22,2744447175257;-0,334493567962427;-0,508287585396283;6,25790111699994;-6,18339451869955;24089;27095;11,4;42486,58;0,4705;2,43361335540045;"supérieur"
"Abstentions";24,9068411635843;2,5085713496471;2,72979477291359;3,84711249685628;-6,03098101068791;15953;18901;14,1;28397,89;0,484;2,64617479738412;"supérieur"
"Abstentions";22,9004030578553;-0,31313056787056;1,36480322666096;5,81126660898272;-5,32569139955001;21226,5;23899;11,8;30667,11;0,46;2,46809953147162;"supérieur"
"Abstentions";24,7014364488752;1,70802130873788;3,0946936493213;5,20545264444699;-5,63913732558877;19341;20483;10;31548,01;0,4599;2,30258509299405;"supérieur"
"Abstentions";26,49928818207;1,025995958653;2,5100130431212;5,31884148508646;-6,01053287181222;17578;19614;9,4;38930,36;0,478;2,24070968927596;"supérieur"
"Abstentions";20,5849194356258;-0,653386260371106;0,568583709646128;5,03069414728676;-3,99908387460773;23173;22986;8,3;63672,08;0,4615;2,11625551480255;"supérieur"
"Abstentions";19,6016987027104;3,00238118054238;-2,50341934268521;5,44689986802098;-7,50953076254656;25854;25354;7,6;62422,03;0,4619;2,02814824729229;"supérieur"
"Abstentions";20,085577559577;0,332964383896009;-1,96201643892109;6,18767113117912;-3,96230622098021;29006;22312;5,1;31031,78;0,3649;1,62924053973028;"supérieur"
"Abstentions";23,9581191976392;-1,11200616399901;2,10109335058605;5,60610636708041;-4,07032244863527;17605,5;20410;9,3;18794,11;0,4266;2,23001440015921;"supérieur"
"Abstentions";23,0796724623421;1,07147302360636;-0,012044578651543;5,71610949605687;-5,19144623435218;25414;23073;7,3;52295,17;0,4347;1,98787434815435;"supérieur"
"Abstentions";23,1682760487767;-0,65014689728783;1,90983151408721;4,69987080754411;-4,0652837082392;22504;19230;6,6;30062,56;0,3997;1,88706964903238;"supérieur"
"Abstentions";20,9191267634823;6,28620529649479;-1,64563234814729;5,33660231704394;-7,73603523217436;20353;20167;7,2;42211,43;0,4145;1,97408102602201;"supérieur"
"Abstentions";18,2555163991207;4,71014994877358;-2,76617307052352;6,17031254136338;-7,02644531588617;26038;17860;4,2;21182,13;0,3203;1,43508452528932;"inférieur"
"Abstentions";19,1335082628506;-2,37647227223537;1,03469694977009;2,44215411463996;-0,4284967599102;20972;16129;4,5;18144,34;0,3357;1,50407739677627;"inférieur"
"Abstentions";21,6713848440418;0,718500240666309;-0,227885795801608;4,01312669912295;-3,53130655611907;23722;17916;4,5;25943,86;0,3483;1,50407739677627;"inférieur"
